Class,Fold,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score
0,5.5,0.9525853880564077,0.9110757995791635,0.9313674571585508,0.8196729600882673,0.7895544853472545,0.8043172880411584
1,5.5,0.9447078476027878,0.9034603000290197,0.923622846632974,0.8109921989403815,0.7636196290344037,0.7865763440180042
2,5.5,0.9046173670453559,0.9835297220352978,0.9424240564327716,0.8871277092486413,0.971456744649258,0.9273657850931774
