Class,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score
0,0.9930659331807478,0.9942533896659039,0.9936592028426835,0.89378923332848,0.9066952854507997,0.9001901108991305
1,0.9941045239373896,0.9925543919631054,0.9933287346719624,0.9054678381376012,0.8858277246268951,0.8955322686912236
2,0.9994971525251103,0.9998600829507959,0.9996785816685329,0.9901508035651094,0.9973015650448158,0.9937121632264464
