Fold,Training Accuracy,Validation Accuracy
1,0.9956470078731414,0.9286428143114132
2,0.9956247987296369,0.932240655606636
3,0.9955359621556195,0.9270437737357585
4,0.9954915438686107,0.931041375174895
5,0.9956136941578848,0.9253447931241255
6,0.9956025895861326,0.9294423345992404
7,0.9952361387183103,0.9296422146711972
8,0.9954915438686107,0.9330401758944633
9,0.9957580535906633,0.931740955426744
10,0.9955582206231817,0.9312343828085957
