Fold,Training Accuracy,Validation Accuracy
1,0.9337723340699365,0.8431940835498701
2,0.9315958380065072,0.8412952228662802
3,0.9333170466280968,0.8423945632620428
4,0.9330061186190355,0.8432940235858485
5,0.9314292694302244,0.8354987007795323
6,0.9320178117330905,0.8412952228662802
7,0.9321399620223646,0.8370977413551869
8,0.9340388437919892,0.840495702578453
9,0.933272628341088,0.8432940235858485
10,0.9322961778488462,0.847576211894053
